UIC;Gare enquêtée;Classe distance gare gare;POURCENTAGE;Année
753657.0;Arles;400 à 500 km;3.0;2014
286005.0;Lille Flandres;Moins de 25 km;23.0;2013
484006.0;Angers Saint Laud;250 à 300 km;25.0;2015
575001.0;Poitiers;Plus de 500 km;4.0;2015
182014.0;Colmar;Plus de 500 km;2.0;2017
182014.0;Colmar;250 à 300 km;0.0;2017
784009.0;Perpignan;150 à 200 km;6.0;2016
784009.0;Perpignan;400 à 500 km;1.0;2016
775007.0;Nîmes;25 à 50 km;35.0;2014
775007.0;Nîmes;50 à 75 km;5.0;2014
757625.0;Cannes;100 à 150 km;9.0;2015
755009.0;Toulon;75 à 100 km;3.0;2014
583005.0;Angoulême;250 à 300 km;0.0;2012
141002.0;Nancy;Plus de 500 km;1.0;2014
300863.0;Besançon Franche-Comté TGV;300 à 400 km;39.0;2015
444000.0;Caen;Moins de 25 km;6.0;2012
411017.0;Rouen Rive Droite;250 à 300 km;0.0;2014
411017.0;Rouen Rive Droite;25 à 50 km;16.0;2014
318964.0;Avignon TGV;200 à 250 km;18.0;2015
212027.0;Strasbourg;75 à 100 km;11.0;2016
212027.0;Strasbourg;50 à 75 km;15.0;2016
182014.0;Colmar;25 à 50 km;24.0;2017
192039.0;Metz;25 à 50 km;43.0;2016
484006.0;Angers Saint Laud;100 à 150 km;3.0;2015
575001.0;Poitiers;300 à 400 km;6.0;2015
673400.0;Biarritz;300 à 400 km;0.0;2016
673400.0;Biarritz;200 à 250 km;0.0;2016
763029.0;Valence TGV Rhône-Alpes Sud;200 à 250 km;5.0;2015
773002.0;Montpellier Saint-Roch;100 à 150 km;14.0;2015
784009.0;Perpignan;300 à 400 km;5.0;2016
756056.0;Nice;50 à 75 km;7.0;2014
722025.0;Lyon Perrache;25 à 50 km;36.0;2011
